query,rank,score,score_reasons,source_type,auto_suggestion,manual_status,manual_note,title,channel,published_at,duration_label,view_count,comment_count,url,notes,top_comment_excerpt,description
母親 陪伴 訪談,1,22,+3 專訪 | +3 紀錄 | +4 紀錄片 | +2 陪伴 | +2 母親 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | +2 小人物帶 | +1 有少量留言 | -2 互動偏低,story-fit,保留,,,曾寶儀專訪︱母親三度患癌：媽媽手術後恐慌症發作，我對這個病所知甚少，哪段時間是做得未夠好︱18年開拍紀錄片《交換禮物》曾寶儀領悟到：能幫的並不多，就好像紀錄片結論，陪伴者，單純的陪伴便足夠（#曾寶儀）,娛壹 As One,2026-01-06T12:00:06Z,11:45,33394,12,https://www.youtube.com/watch?v=QZLKGGeM8oY,待人工複查,she become to a wise lady,過去十多年，52歲曾寶儀身邊親人先後罹患癌症：「爺爺、嫲嫲、伯父，表姨丈及媽媽，都是cancer。」三歲時父母離異，她自此交由在台灣的祖父母照顧，故祖父病逝，對她衝擊最大：「他們患病最初，我沒很大壓力，因無需做決定。像爺爺、嫲嫲，由上一輩負責。但漸漸會想，我可不可以為他們做多些？因當中有不少遺憾，如果對這方面有更多認識，是否可以幫上忙？我是否做得未夠好？」遺憾當中，她說包括：「我『做功課』是否欠勤力？有關知識是否不夠豐富？」 連串問題後，曾寶儀開始找答案：「即是有沒有可能，了解更多不同療法，令他們有更多選擇。」 從紀錄片《交換禮物》尋找答案 於是，在尋找
小人物 家庭故事 訪談,2,17,+4 人物故事 | +3 小人物 | +3 片長適中 | +2 故事貼合 | +1 查詢略貼 | +1 中小眾 | +3 留言明顯,story-fit,觀察,,,张颂文不红之前有多卑微？被剧组丢在沙漠捡垃圾！出道20年，没房没家庭！收入一年2万！《狂飙》【人物故事】,Your Studio有耳工作室,2023-02-03T01:34:07Z,12:20,181848,205,https://www.youtube.com/watch?v=Z1GQfB1ZAKE,待人工複查,,要问最近谁最火，高启强第一，张颂文第二。高启强，一个档口卖鱼的小贩，自幼父母双亡，靠一己之力养大弟弟妹妹，既当爹又当妈。在社会底层谋生，如蝼蚁般匍匐，在生活的压迫和命运的裹挟下一步步成为睥睨一方的黑势力头目。小人物的心酸胆怯，黑老大的心狠手辣，都被张颂文精准演绎。
回家 告別 訪談,3,16,+3 訪談 | +2 回家 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | +1 中小眾 | +3 留言明顯,story-fit,觀察,,,【職業訪談】空服員過年開趴？在國外「買宣紙、寫毛筆、吃年菜」feat.賴珮如,關韶文 關關,2021-02-14T13:00:13Z,13:58,86319,129,https://www.youtube.com/watch?v=SXTMaQ6R4gY,待人工複查,,「如果我不能過除夕，就要比人家玩得更瘋！」 - 空服員的農曆春節就是和我們不同！剛出社會進入航空公司的時候，還是小小學妹，班表當然一律以公司安排為主，幸好賴珮如全家人都各自忙碌，約好初三後才開始回家團聚。 - 在過年期間，機場當然也會轉換成「過年模式」，也會搭配永遠聽不膩的「財神歌曲」，也會在飛機上貼滿「新年系列」的套裝模式，讓乘客感受滿滿的溫馨。 - 過去在海外過年的日子裡，賴珮如轉念告訴自己，「如果我不能過除夕，就要比人家玩得更瘋！」直接在當地化身康樂股長，買宣紙、寫毛筆、吃年菜，把機組員聚集在一起，好好過年，好好放假！ - 在所有人休假的時候，我們
父親 告別 紀錄片,4,16,+3 紀錄 | +4 紀錄片 | +2 告別 | +2 回憶 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | +2 小人物帶 | -4 無留言,story-fit,觀察,,,老爸的的生命影片,kawaiwu,2011-02-06T01:01:34Z,9:28,642,0,https://www.youtube.com/watch?v=d_MGEfCPjcA,待人工複查,,"這是爸在告別式當天所播放的紀錄片, 裡面是爸從年輕到老前所拍下的點滴, 裡面有很多我們知道與不知道的回憶, 人生啊就是這麼這麼得短暫說走就走."
父親 告別 紀錄片,5,16,+3 紀錄 | +4 紀錄片 | +2 父親 | +2 告別 | +2 可快速消化 | +2 故事貼合 | +3 查詢貼合 | +2 小人物帶 | -4 無留言,story-fit,觀察,,,「父親的畢業典禮」呂峻賢先生 告別典禮紀錄片頭,彰化錦福堂,2021-12-27T13:21:01Z,4:47,339,0,https://www.youtube.com/watch?v=_Cl2YAM4ev4,待人工複查,,
父親 告別 紀錄片,6,16,+3 紀錄 | +4 紀錄片 | +2 陪伴 | +2 父親 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | +2 小人物帶 | -4 無留言,story-fit,觀察,,,我的父親追思紀錄片,李美齡,2018-09-14T14:52:34Z,12:26,244,0,https://www.youtube.com/watch?v=KdTekhbY9k0,待人工複查,,謝謝親友們曾經陪伴過我的父親，在此致上深深的感謝。
陪伴 微紀錄片,7,15,+3 紀錄 | +4 紀錄片 | +2 陪伴 | +2 外公 | +3 片長適中 | +2 故事貼合 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,story-fit,排除,,,《面影》--紀念外公紀錄片,Bruce Wang,2010-04-04T20:14:06Z,9:49,165,0,https://www.youtube.com/watch?v=ciMeCaue9SE,待人工複查,,這是玩劇影像工作室的第一部紀錄影片。紀錄了我們陪伴外公在人世間的最後一程，也紀錄了許多感人的時刻。
回家 告別 訪談,8,15,+3 訪談 | +3 專訪 | +3 紀錄 | +2 回家 | +2 父親 | +2 告別 | +2 失去 | +1 相遇 | +2 故事貼合 | +3 查詢貼合 | -8 幾乎沒被觀眾驗證 | 0 冷門待人工判讀,story-fit,排除,,,在告別之後，才開始理解回家——與《蕉葉與樹的約定》的作者 Nakao Eki Pacidal 的訪談幕後｜ #故事實驗室,鏡文學,2026-06-01T08:40:31Z,,5,0,https://www.youtube.com/watch?v=5jgAgeSgph8,待人工複查,,本片為影音組赴花蓮專訪《蕉葉與樹的約定》的作者 Nakao Eki Pacidal 之花絮紀錄。 在準備出發去拍攝的前夕，影音企劃虹汝的父親突然離世。在既定行程下，訪談仍如期進行，這段過程也同步記錄了虹汝的心路歷程。 Nakao Eki 在訪談之中，她以一種相對淡然的姿態，接住虹汝在父後七日之中的情緒，並回應那些關於死亡、遺憾與存在的提問。當兩個不同世代的女兒相遇，面對同樣的失去——她們各自走過了什麼？又是如何在時間之中，逐漸理解「告別」，並重新定義「回家」的意義。 ✐☡———————————— 00:00 開場 00:42 出發前往花蓮拍攝 01:17
父親 告別 紀錄片,9,14,+3 紀錄 | +4 紀錄片 | +2 告別 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | +2 小人物帶 | -4 無留言,story-fit,排除,,,【告別式紀錄片：李鉦禮老先生告別式】,三里清風 喪禮攝影團隊,2025-11-14T12:47:03Z,9:18,802,0,https://www.youtube.com/watch?v=q4I-QeVJejI,待人工複查,,爸爸 希望您在另外一個世界 過得快樂無憂無慮 兒子對您的思念 將會永遠在心中長存 爸 一路好走 #東海慈恩會館 #喪禮記錄 #喪禮攝影 #告別式
小人物 家庭故事 訪談,10,13,+3 小人物 | +3 片長適中 | +1 查詢略貼 | +2 小人物帶 | +3 留言明顯 | +1 有互動,general,排除,,,"女装卡莫故事:为男人落入河中,同志据点首位英年早逝的小伙｜北漂小人物回忆录【北同】",Beitong北同,2021-07-14T14:38:41Z,16:24,49752,172,https://www.youtube.com/watch?v=bBg5QTYgtVU,待人工複查,,他叫ComeOn(卡莫)，一个底层北漂，也是一名非专业反串。他白天做服务员，晚上就租住在阴暗的北京地下室，这个地下室旁边就是北京最著名的同志公园据点，他11年前因为牡丹园的女装火遍全公园，又在公园收获男男同性爱情，却为何突然魂断小月河？带您一起了解北京小人物——卡莫的同志聚集地生活和情感故事。此视频有中文字幕。 「故事为本人亲身经历和记录，侵权必究。」 == ABOUT == 请我喝咖啡，将感激不尽 微信打赏：https://bit.ly/3gozLAy Paypal打赏：https://www.paypal.me/beitong -----------
